# NaN -110
# X, Y, HEADING, 64:70:02:b5:0c:a2, 18:64:72:21:aa:60, 18:64:72:20:ce:61, 00:1a:1e:1e:a2:30, 18:64:72:20:ce:60, 18:64:72:21:f2:40, 18:64:72:21:d8:90, 18:64:72:21:aa:61, ea:08:6b:27:4f:87, 2c:44:fd:70:ee:4f, 00:1a:1e:1e:a2:21, 18:64:72:21:aa:70, 00:14:78:53:51:2a, 18:64:72:20:ce:70, 08:62:66:98:3b:68, 00:1a:1e:1e:a2:20, 18:64:72:20:ce:71, 00:13:1a:30:60:10, ec:08:6b:84:32:73, f4:1f:c2:33:5a:a1, f4:1f:c2:33:5a:a2, f4:1f:c2:33:5a:a0, 18:64:72:21:f2:51, 18:64:72:21:f2:50, f4:1f:c2:5b:05:40, ec:08:6b:27:4f:87, 18:64:72:21:d9:50, f4:1f:c2:1e:28:80, 18:64:72:21:d9:c0, 18:64:72:21:d9:c1, 00:1a:1e:1e:a2:31, 18:64:72:21:df:80, 18:64:72:21:df:81, 08:62:66:98:3b:e8, 18:64:72:21:d8:91, 18:64:72:21:f2:41, 18:64:72:21:aa:71, a0:04:60:88:f7:7d, f8:d1:11:b7:7e:be, 18:64:72:21:d9:51, 18:64:72:21:d8:81, 1c:7e:e5:4b:b2:53, f4:1f:c2:5a:e4:32, a0:04:60:75:50:dc, f4:1f:c2:5a:e4:31, f4:1f:c2:5a:e4:30, 84:16:f9:16:26:34, f4:1f:c2:5c:e3:30, 00:1a:1e:1e:8d:30, 18:64:72:21:d9:40, 18:64:72:21:d9:41, f4:1f:c2:5b:06:82, f4:1f:c2:5b:06:80, 18:64:72:21:d9:d0, f4:1f:c2:5a:ea:d0, 18:64:72:21:d9:d1, 18:64:72:21:df:90, 00:1a:1e:1e:8d:20, 00:1a:1e:1e:8d:21, 18:64:72:21:df:91, f4:1f:c2:5a:ea:d2, f4:1f:c2:33:7b:b1, f4:1f:c2:33:7b:b2, f4:1f:c2:33:7b:b0, 08:62:66:98:3b:ec, f4:1f:c2:5b:05:42, f4:1f:c2:5b:05:41, 18:64:72:21:d8:80, f4:1f:c2:5c:dc:90, a0:04:60:88:f7:7c, f4:1f:c2:5a:e3:12, f4:1f:c2:35:5a:20, 00:23:69:1e:8c:a1, f4:1f:c2:33:5a:d0, f4:1f:c2:33:5a:d1, f4:1f:c2:33:5a:d2, f4:1f:c2:6e:ab:f0, f4:1f:c2:70:ab:a0, f4:1f:c2:70:ab:a2, 60:e3:27:3c:2f:69, f4:1f:c2:5a:e3:11, 08:62:66:98:3b:6c, f4:1f:c2:70:ab:a1, f4:1f:c2:70:a9:f2, f4:1f:c2:70:a9:f0, c8:60:00:ac:75:80, 10:bf:48:3a:e3:f8, 6c:70:9f:d9:f4:44, 6e:44:f4:d9:9f:70, 2e:45:e4:58:ba:79, f4:1f:c2:5a:e3:10, f4:1f:c2:5a:ea:d1, f4:1f:c2:33:5a:82, 6e:45:f4:d9:9f:70, 6c:70:9f:d9:f4:45, f4:1f:c2:33:5a:80, 00:1a:1e:1e:8d:31, f4:1f:c2:70:ce:12, f4:1f:c2:35:7b:30, f4:1f:c2:70:a9:f1, f4:1f:c2:5b:06:81, f4:1f:c2:70:ce:10, f4:1f:c2:5c:fd:a0, f4:1f:c2:70:ce:11, f0:79:59:77:3d:38, 14:cf:92:c4:03:7c, 00:11:93:3d:73:60, f4:1f:c2:33:5a:81, 96:53:30:b9:0d:33, e8:94:f6:68:5e:12, f8:d1:11:b9:b6:04, a0:04:60:75:50:db, 90:67:1c:c5:10:9b, 94:b4:0f:14:78:e1, 94:b4:0f:14:78:e7, 94:b4:0f:14:78:e6, 94:b4:0f:14:78:e5, 94:b4:0f:14:78:e4, 94:b4:0f:14:78:e8, ac:9e:17:95:78:e8, a0:04:60:88:f0:81, 00:c0:ca:6c:54:66, 94:b4:0f:14:78:f3, 94:b4:0f:14:78:f8, c0:c1:c0:e7:b5:b9, 68:94:23:38:6d:50
22.41796590777728, 114.20719098078483, 270, -66, -55, -79, -81, -84, -62, -91, -50, -86, -65, -78, -67, -70, -70, -63, -74, -70, -63, -90, -82, -82, -81, -85, -85, -89, -86, -88, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.41796833471107, 114.20718505405179, 90, -52, -59, -75, -80, -78, -69, -81, -56, -110, -50, -73, -57, -76, -74, -78, -72, -74, -66, -110, -83, -82, -83, -76, -76, -110, -110, -83, -84, -82, -82, -81, -83, -82, -80, -81, -67, -59, -82, -81, -83, -83, -82, -78, -79, -81, -79, -81, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.418063235254976, 114.20737963285009, 90, -88, -75, -87, -110, -86, -59, -73, -75, -110, -81, -110, -82, -39, -78, -110, -110, -79, -110, -110, -110, -110, -110, -72, -71, -81, -110, -60, -110, -90, -91, -110, -51, -49, -76, -74, -59, -82, -110, -66, -60, -85, -110, -82, -110, -82, -110, -110, -81, -80, -69, -72, -91, -93, -91, -73, -91, -53, -78, -77, -54, -73, -89, -89, -90, -92, -82, -90, -86, -92, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.41796332579802, 114.20719317779323, 180, -57, -59, -84, -79, -85, -77, -82, -60, -110, -62, -84, -52, -84, -59, -90, -81, -59, -70, -110, -89, -90, -110, -76, -75, -110, -110, -90, -110, -110, -110, -79, -110, -110, -86, -83, -78, -51, -110, -90, -89, -110, -110, -110, -110, -110, -86, -110, -110, -110, -110, -110, -110, -110, -89, -110, -89, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -86, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.417869662045213, 114.20720363908275, 90, -74, -61, -81, -72, -78, -74, -77, -60, -110, -79, -64, -65, -77, -74, -56, -56, -75, -76, -81, -74, -73, -73, -81, -82, -110, -110, -77, -79, -77, -77, -72, -110, -81, -82, -78, -71, -64, -80, -82, -77, -110, -110, -110, -78, -110, -110, -74, -110, -110, -83, -82, -110, -110, -78, -110, -78, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -80, -110, -81, -82, -81, -78, -83, -81, -82, -84, -81, -83, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.41790309344502, 114.20727015616865, 0, -71, -43, -65, -100, -65, -64, -72, -42, -110, -71.5, -110, -37.5, -76.5, -60.5, -82, -89.5, -61, -85, -110, -85, -83, -84, -69, -68.5, -100, -88, -84.5, -85, -91, -96.5, -100, -99, -110, -81, -72, -66, -40, -110, -86.5, -84.5, -86, -99.5, -110, -110, -110, -110, -110, -110, -110, -99.5, -110, -110, -110, -87, -110, -87.5, -89.5, -110, -110, -89.5, -110, -110, -110, -110, -98.5, -99.5, -88, -85, -110, -110, -110, -90, -98, -110, -110, -110, -110, -99, -98.5, -100, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.41790309344502, 114.20727015616865, 270, -61, -39, -65, -90, -65, -62, -72, -39, -110, -70, -110, -38, -76, -61, -83, -88, -61, -85, -110, -86, -85, -84, -68, -68, -90, -88, -80, -110, -90, -110, -90, -87, -110, -76, -72, -65, -39, -110, -84, -81, -86, -89, -110, -110, -110, -110, -110, -110, -110, -85, -110, -110, -110, -89, -110, -89, -89, -110, -110, -89, -110, -110, -110, -110, -90, -89, -110, -86, -110, -110, -110, -90, -110, -110, -110, -110, -110, -88, -87, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.417907955498066, 114.20719052980586, 180, -66, -48, -73, -81, -72, -59, -71, -49, -110, -72, -76, -44, -68, -67, -69, -70, -67, -64, -110, -79, -81, -81, -72, -72, -83, -110, -82, -81, -82, -81, -80, -110, -110, -77, -72, -61, -47, -110, -81, -81, -82, -110, -81, -110, -82, -110, -81, -110, -110, -82, -81, -110, -110, -82, -110, -82, -82, -110, -110, -110, -110, -110, -110, -110, -110, -83, -82, -82, -110, -110, -82, -81, -82, -110, -110, -110, -110, -80, -80, -110, -82, -84, -80, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.41797418444307, 114.20719001336293, 90, -56, -63, -81, -86, -81, -80, -83, -110, -110, -71, -86, -55, -82, -70, -91, -84, -71, -68, -110, -110, -90, -110, -79, -78, -110, -110, -92, -110, -110, -110, -85, -110, -110, -88, -83, -79, -110, -110, -87, -92, -110, -84, -110, -110, -110, -83, -110, -110, -110, -110, -110, -110, -110, -92, -110, -92, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -93, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
22.41806428738589, 114.20720102260562, 180, -57, -71, -82, -110, -79, -63, -84, -72, -110, -56, -110, -73, -67, -82, -110, -110, -83, -110, -110, -110, -110, -110, -74, -73, -110, -110, -81, -110, -110, -110, -110, -73, -75, -79, -83, -57, -74, -110, -65, -82, -110, -76, -61, -110, -65, -57, -110, -110, -110, -81, -81, -110, -110, -110, -79, -110, -78, -83, -110, -79, -77, -110, -110, -110, -110, -110, -110, -110, -74, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -79, -76, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
